word,rarity,pos,Definition,Sentence
excited,2,adj,"Having great enthusiasm, passion and energy.",He was very excited about his promotion.
exciter,3,noun,One who or that which excites.,
excites,3,verb,Third-person singular present tense of excite.,
exciton,3,noun,A bound state of an electron and an electron hole in an insulator or semiconductor.,
exclaim,3,verb,"To cry out suddenly, from some strong emotion.","I am a soldier, and unapt to weep, Or to exclaim on fortune’s fickleness."
exclude,3,verb,To bar (someone or something) from entering; to keep out.,
excreta,3,noun,Bodily waste which is excreted from the body.,
excrete,4,verb,"To discharge material (including waste products) from a cell, body or system.",Your open pores excrete sweat and dirt.
excused,3,verb,simple past and past participle of excuse,
excuses,2,verb,Third-person singular present tense of excuse.,
execute,3,verb,"To kill, especially as punishment for a capital crime.",There are certain states where it is lawful to execute prisoners convicted of certain crimes.
exempts,3,verb,Third-person singular present tense of exempt.,
exerted,3,verb,Past tense of exert.,
exhaled,3,verb,Past tense of exhale.,
exhales,3,verb,Third-person singular present tense of exhale.,
exhaust,3,verb,To draw or let out wholly; to drain completely.,
exhibit,2,verb,"To display or show (something) for others to see, especially at an exhibition or contest.",
exhorts,4,verb,Third-person singular present tense of exhort.,
exhumed,4,verb,Past tense of exhume.,
exhumes,4,verb,Third-person singular present tense of exhume.,
exigent,4,adj,Urgent; pressing; needing immediate action.,
exiling,3,verb,Present participle of exile.,
existed,2,verb,Past of exist. Meaning: to be; have existence; have being or reality,
exiting,3,verb,present participle and gerund of exit,
exotica,4,noun,plural of exotic,
exotics,3,noun,Plural of exotic.,
expands,2,verb,Third-person singular present tense of expand.,
expanse,3,noun,"A wide stretch, usually of sea, sky, or land.",
expects,1,verb,Third-person singular present tense of expect.,
expends,4,verb,third-person singular simple present indicative of expend,
expense,2,noun,"A spending or consuming, often a disbursement of funds.",She went to great expense to ensure her children would get the best education.
experts,2,noun,plural of expert,
expiate,4,verb,To atone or make reparation for.,The Treasurer obliged himself to expiate the injury.
expired,3,verb,Past tense of expire.,
expires,3,verb,Third-person singular present tense of expire.,
explain,2,verb,"To make plain, manifest, or intelligible; to clear of obscurity; to illustrate the meaning of.",
explode,3,verb,To destroy with an explosion.,
exploit,3,noun,A heroic or extraordinary deed.,
explore,2,verb,To examine or investigate something systematically.,
exposed,2,adj,"Open (especially to something), unconcealed and/or unprotected (and therefore vulnerable, susceptible).",The monastery perched on an exposed cliff.
exposes,3,verb,Third-person singular present tense of expose.,
expound,4,verb,To set out the meaning of; to explain or discuss at length.,Today I'll expound at length the theory propounded last week.
express,2,adj,"Moving or operating quickly, as a train not making local stops.",
expunge,4,verb,To erase or strike out.,
extends,2,verb,Third-person singular present tense of extend.,
extents,2,noun,Plural of extent.,
extinct,3,adj,"Of fire, etc.: no longer alight; of a light, etc.: no longer shining; extinguished, quenched.",Edward’s cigarillo was extinct by the time he had finished talking.
extorts,3,verb,Third-person singular present tense of extort.,
extract,2,noun,Something that is extracted or drawn out.,
extreme,2,adj,"Of a place, the most remote, farthest or outermost.","At the extreme edges, the coating is very thin."
extrude,4,verb,To push or thrust out.,
exuding,4,verb,Present participle of exude.,
exulted,3,verb,Past tense of exult.,
exurban,3,adj,"Of, pertaining to, or residing in an exurb.",
exurbia,3,noun,A residential area beyond the suburbs.,
eyeball,3,noun,The ball of the eye.,You'll change your mind about not bothering with safety glasses once you've injured your eyeball. That's called closing the barn door after the horse gets out.
eyebrow,3,noun,The hair that grows over the bone ridge above the eye socket.,
eyefuls,3,noun,Plural of eyeful.,
eyelash,3,noun,One of the hairs which grows along the edge of eyelids.,
eyeless,3,adj,Having no eyes (organs of sight).,
eyelets,4,noun,Plural of eyelet.,
eyelids,3,noun,Plural of eyelid.,
eyesore,4,noun,An eye lesion.,
eyewash,3,noun,"The washing out of the eyes with copious solution (usually water alone) to quickly remove an irritant, as for example in laboratories and industrial plants; the washing solution itself.",
eyewear,3,noun,"A vision aid or similar device worn over the eyes, such as eyeglasses, contact lenses, or protective goggles.",
fabrics,2,noun,Plural of fabric.,
facades,3,noun,Plural of facade.,
faceted,3,verb,Past tense of facet.,
facials,2,noun,Plural of facial.,
facings,2,noun,Plural of facing.,
faction,3,noun,"A group of people, especially within a political organization, which expresses a shared belief or opinion different from people who are not part of the group.",Prejudice has bred a counterprejudice so that now neither faction can nor will see without distortion.
factoid,4,noun,"An inaccurate statement or statistic believed to be true because of broad repetition, especially if cited in the media.",
factors,2,noun,Plural of factor.,
factory,2,noun,A building or other place where manufacturing takes place.,
factual,3,adj,Pertaining to or consisting of objective claims.,
faculty,2,noun,"The academic staff at schools, colleges, universities or not-for-profit research institutes, as opposed to the students or support staff.",
faddish,3,adj,Being or relating to a fad; trendy.,
faddist,3,noun,A person or entity given to following fads.,
fadeout,3,noun,A gradual disappearance or fading away.,
faeries,3,noun,Plural of faerie.,
faffing,4,verb,Present participle of faff.,
fagging,3,verb,Present participle of fag.,
faggots,3,noun,Plural of faggot.,
faience,3,noun,"A type of tin-glazed earthenware ceramic, used domestically for tableware and in architecture as a decorative material.",
failing,2,verb,present participle and gerund of fail,
failure,2,noun,"State or condition of not meeting a desirable or intended objective, opposite of success.",
fainest,4,adj,Superlative of fain.,
fainted,3,verb,Past tense of faint.,
fainter,3,adj,Comparative of faint.,
faintly,3,adv,In a faint manner; very quietly or lightly.,
fairest,3,adj,superlative form of fair: most fair. Meaning: Treating people equally and without favoritism; reasonable or just.,
fairies,2,noun,Plural of fairy.,
fairing,3,noun,A type of small gingerbread biscuit; a ginger nut.,
fairway,3,noun,"The area between the tee and the green, where the grass is cut short.",
fajitas,4,noun,Plural of fajita.,
falafel,4,noun,"A Middle Eastern food in the form of balls made from chickpeas or broad beans and other ingredients, often served in a pita.",There's a stall at the market that sells fantastic falafel.
falcons,3,noun,Plural of falcon.,
fallacy,3,noun,Deceptive or false appearance; that which misleads the eye or the mind.,
falling,2,verb,present participle and gerund of fall,
falloff,3,noun,A reduction or decline.,
fallout,3,noun,"The event of small airborne particles falling to the ground in significant quantities as a result of major industrial activity, volcano eruption, sandstorm, nuclear explosion, etc.",
fallows,3,verb,Third-person singular present tense of fallow.,
falsely,3,adv,In a false manner.,
falsest,3,adj,Superlative of false.,
falsies,3,noun,Plural of falsie.,
falsify,4,verb,To alter so as to make false; especially when done with intent to deceive.,"The Irish bards use to forge and falsify everything as they list, to please or displease any man."
falsity,3,noun,Something that is false; an untrue assertion.,
falters,3,noun,Plural of falter.,
famines,3,noun,Plural of famine.,
fanatic,3,adj,Fanatical.,"But Faith, fanatic Faith, once wedded fast / To some dear falsehood, hugs it to the last."
fanboys,3,noun,Plural of fanboy.,
fancied,3,adj,"Existing only in the fancy (“imagination”); imaginary, imagined.",The plant was named for its fancied resemblance to a Roman spear.
fancier,2,adj,Comparative of fancy.,
fancies,3,noun,plural of fancy,
fancily,3,adv,In a fancy manner.,
fandoms,3,noun,Plural of fandom.,
fanfare,3,noun,A flourish of trumpets or horns as to announce; a short and lively air performed on hunting horns during the chase.,They played a short fanfare to announce the arrival of the king.
fanfics,4,noun,Plural of fanfic.,
fannies,3,noun,Plural of fanny.,
fanning,3,verb,present participle and gerund of fan,
fantail,3,noun,"Any of several birds, of the genus Rhipidura, from Asia, Australia and New Zealand.",
fantasy,2,noun,That which comes from one's imagination.,Is not this something more than fantasy?
fanzine,3,noun,"A magazine, normally produced by amateurs, intended for people who share a common interest.",
faraway,3,adj,"Not mentally present, as when daydreaming.",
farmers,2,noun,plural of farmer,
farming,2,verb,Present participle of farm.,
farrago,4,noun,A collection containing a confused variety of miscellaneous things.,"Or, This is a farrago of absurdity, I could never feel anything of the sort myself."
farrier,4,noun,A person who maintains the health and balance of horses' feet through the trimming of the hoofs and fitting of horseshoes.,
farrows,3,noun,Plural of farrow.,
farther,3,adj,Alternative form of further. (See also the usage notes at further.),"The necessity must be obeyed, and farther apology would be absurd."
fascias,3,noun,Plural of fascia.,
fascism,3,noun,"Any right-wing, authoritarian, nationalist ideology characterized by centralized, totalitarian governance, strong regimentation of the economy and society, and repression of criticism or opposition.",
fascist,3,adj,Of or relating to fascism.,
fashion,2,noun,"A current (constantly changing) trend, favored for frivolous rather than practical, logical, or intellectual reasons.",
fastens,3,verb,Third-person singular present tense of fasten.,
fastest,1,adj,Superlative of fast.,
fasting,1,verb,Present participle of fast.,
fatally,3,adv,In a deadly manner; lethally.,
fatback,3,noun,"A layer of fat, along the back of a pig, used as a cut of meat or to make lard.",
fateful,3,adj,"Momentous, significant, setting or sealing one’s fate.",
fathead,3,noun,"A cyprinid fish of the Mississippi valley, Pimephales promelas, the black-headed minnow.",
fathers,2,noun,plural of father,
fathoms,3,noun,Plural of fathom.,
fatigue,3,noun,A weariness caused by exertion; exhaustion.,"For some, the constant deluge that has peaked in the past year is starting to add up to a new (and previously unthinkable) feeling: Taylor Swift fatigue."
